Element,P (kW),Q (kVAR),S (kVA)
Vsource.source,-389.2108701392176,-292.47610836200124,486.8545731500404
Transformer.mainxfmr,389.2108701392635,292.47610836219263,486.85457315019204
Transformer.distxfmr,388.2143053357542,283.93222888593584,480.9655470690782
Line.mainfeeder,97.90235249264536,72.05816007980518,121.56170884649907
Line.branch1,178.24842471490305,57.65979545205876,187.34234151658754
Line.branch2,110.28380911995112,139.97557245720753,178.20123298880054
Load.residentialload,77.3407267958439,30.936879298520882,83.29873061482161
Load.commercialload,131.3631323414797,49.26294938361497,140.2965100084023
Load.industrialload,67.86686066221053,33.93347297351152,75.87747600037797
Capacitor.capbank1,0.0,-61.923584509976365,61.923584509976365
Transformer.vreg,-5.471789271682681e-13,0.00015597028492399739,0.00015597028492399739
